Nom du site où est dispensée la formation,Adresse du site de formation,Complément d’adresse du site de formation,Suite du complément d’adresse du site de formation,Ville du site de formation,Coordonnées géographiques du site de formation,Nom officiel (long) de l’établissement accrédité,Intitulé de la mention de master,Modalités d’enseignement de la mention,Intitulé du parcours,Modalités d’enseignement du parcours,Domaine(s) de la mention de master,Existence d’une capacité d’accueil limitée au 1er semestre,Capacité d’accueil limitée au 1er semestre,Année de la campagne de recueil des informations,Licences conseillées pour suivre la formation de la mention,URL de la fiche relative à la mention sur le site internet de l’établissement
Université Claude Bernard Lyon 1,Faculté des Sciences,Bâtiment Lipmann,43 Boulevard du 11 novembre 1918,villeurbanne,"45.778928,4.868194",Université Lyon-I,"Biochimie, biologie moléculaire",Formation initiale,"Recherche biomédicale (M1 spécifique, destiné aux étudiants de santé)",Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,70.0,2020.0,,
Université de Rennes 1,Campus de Beaulieu,,,RENNES,"48.116992,-1.634028","Institut supérieur des sciences agronomiques, agroalimentaires, horticoles et du paysage, Agrocampus Ouest","Biodiversité, écologie et évolution",Formation initiale|Formation continue,Modélisation en Ecologie - MODE,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Sans objet,,2019.0,,
UFR Sciences,Place Eugène Bataillon,,,MONTPELLIER,"43.63419,3.86662",Université de Montpellier,Bioinformatique,Formation initiale|Formation continue,,,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,30.0,2021.0,Informatique|Sciences pour la santé,https://formations.umontpellier.fr/odf/bioinformatique.html
Ecole normale supérieure de Lyon,15  PARVIS RENE DESCARTES,,,LYON CEDEX 07,,Ecole normale supérieure de Lyon,Biologie,Formation initiale,FEADéP (SV-STU),Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,27.0,2021.0,,
Université de Franche-Comté,UFR Sciences et Techniques,16. route de Gray,,BESANÇON,"5.989696,47.244401",COMUE Bourgogne Franche-Comté,Biologie de la conservation,Formation initiale|Formation continue|Alternance|Hybride,"Ecology, Monitoring and Management of Ecosystems (EMME)(Ecologie, Diagnostic et Gestion des Ecosystèmes)",Formation initiale|Formation continue|Alternance|Hybride,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,30.0,2020.0,,
"Institut d'enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l'environnement",1 AVENUE BOURGELAT,,,MARCY L ETOILE,"45.790736,4.708956","Institut d'enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l'environnement",Biologie intégrative et physiologie,Formation initiale,"Régulation cardio-vasculaires, métaboliques et nutrionelles",,"SCIENCES, TECHNOLOGIES, SANTÉ",Sans objet,,2019.0,,
Université Lyon-I,43 BOULEVARD DU 11 NOVEMBRE 1918,,,VILLEURBANNE CEDEX,,Université Lyon-I,Biologie moléculaire et cellulaire,Formation initiale,INFECTIOLOGIE FONDAMENTALE,Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,100.0,2021.0,,
Faculté des sciences,163 avenue de Luminy,Case 901,,Marseille,"43.296482,5.369779",Université d'Aix-Marseille,"Biologie structurale, génomique",Formation initiale|Formation continue|Alternance|Apprentissage,Biochimie structurale (BS),Formation initiale|Formation continue|Alternance|Apprentissage,SCIENCES ET TECHNOLOGIES,Oui,32.0,2021.0,Sciences de la vie|Sciences de la vie et de la Terre|Sciences pour la santé,https://formations.univ-amu.fr/ME5SBG.html
"Institut d'enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l'environnement",1 AVENUE BOURGELAT,,,MARCY L ETOILE,"45.790736,4.708956","Institut d'enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l'environnement",Biologie végétale,Formation initiale,Phytoressources et phytosciences,,"SCIENCES, TECHNOLOGIES, SANTÉ",Non,,2019.0,,
DUSA,Campus Agen,Avenue Michel Serres,,AGEN,"44.184242,0.625997",Université de Bordeaux,"Biologie, agrosciences",Formation initiale|Formation continue|Apprentissage,Production et innovations en agro-alimentaire,Formation initiale|Formation continue|Apprentissage,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,75.0,2020.0,,
Ecole Polytechnique,,,,Palaiseau,"48.718073,2.249671",Communauté d'universités et établissements Université Paris-Saclay,Biologie-santé,Formation initiale|Apprentissage,"M1 Biologie-Santé - Plateforme génétique, biologie Moléculaire et Cellulaire - Site UVSQ",Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,439.0,2019.0,,
UFR d'Odontologie,2 rue du Général Koenig,,,REIMS,"49.225096,4.01918",Université de Reims,Biomécanique,Formation initiale|Formation continue,Biomécanique-biomatériaux-santé,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,30.0,2020.0,,
Faculté des sciences,3 place Victor Hugo,,,Marseille,"43.296482,5.369779",Université d'Aix-Marseille,Biotechnologie médicale - Biotechnologie végétale - Pharmacologie / Medical biotechnology - Plant biotechnology - Pharmacology,Formation initiale,,,SCIENCES ET TECHNOLOGIES,Sans objet,,2020.0,,https://sciences.univ-amu.fr/
ENSAT,AVENUE DE L'AGROBIOPOLE,,,CASTANET-TOLOSAN,"43.519315,1.496865",Institut national polytechnique de Toulouse,Biotechnologies,Formation initiale|Formation continue,"Bio-Ingénierie : santé, aliments (BING)",Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Sans objet,,2020.0,,
Cnam,292 rue Saint Martin,,,Paris,"48.866961,2.354634",Conservatoire national des arts et métiers,CRIMINOLOGIE,Formation continue,expertise criminologique,,"DROIT, ECONOMIE, GESTION",Non,,2020.0,,
Perpignan,UFR SCIENCES JURIDIQUES ET ECONOMIQUES,UNIVERSITE DE PERPIGNAN,"52, Avenue PAUL ALDUY",PERPIGNAN,"42.682878,2.90181",Université de Perpignan,"Calcul haute performance, simulation",Formation initiale|Alternance,,,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,24.0,2021.0,,
Institut des Sciences Pharmac. et Biol.,ISPB - Pharmacie,Bâtiment Rockefeller principal,8 avenue Rockefeller,LYON,"45.742275,4.880107",Université Lyon-I,Cancer,Formation initiale|Formation continue,BIOLOGIE DU CANCER,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,40.0,2020.0,,
UFR des sciences et techniques,25 rue Philippe Lebon,,,Le Havre,"49.495859,0.129114",Université du Havre,Chimie,Formation initiale,XL-Chem  (sous réserve de validation par les instances),Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,30.0,2020.0,,
FACULTE DES SCIENCES ET TECHNIQUES,Avenue Monge,Parc de Grandmont,,TOURS,"47.356786,0.70247",Université de Tours,Chimie et sciences des matériaux,Formation initiale|Formation continue,Matériaux pour les nouvelles technologies de l'énergie,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,40.0,2020.0,,
Université de Brest,3 RUE DES ARCHIVES,,,BREST CEDEX 2,,Université de Brest,Chimie et sciences du vivant,Formation initiale|Formation continue,Chimie de l'environnement marin,Formation initiale|Formation continue,SCIENCES DE LA MER ET DU LITTORAL,Oui,20.0,2021.0,,
UFR Collegium Sciences et Techniques,,,,Orléans,"47.901977,1.903836",Université d'Orléans,Chimie moléculaire,Formation initiale|Formation continue,Bioactifs et cosmétiques (apprentissage : en 2e année),Formation initiale|Formation continue|Apprentissage,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,40.0,2019.0,Chimie,
Université Lyon-I,43 BOULEVARD DU 11 NOVEMBRE 1918,,,VILLEURBANNE CEDEX,,Université Lyon-I,Chimie physique et analytique,Formation initiale|Alternance|Apprentissage,CRIMINALISTIQUE,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,60.0,2021.0,,
Faculté des sciences,9 Boulevard Lakanal,Département SATIS,,Aubagne,"43.292678,5.567643",Université d'Aix-Marseille,Cinéma et audiovisuel,Formation initiale|Formation continue,Ingénierie de l'image et de la prise de vue,Formation initiale|Formation continue,"ARTS, LETTRES, LANGUES|SCIENCES ET TECHNOLOGIES",Oui,82.0,2020.0,,
Campus de Troubiran,,BP 20792,,Cayenne Cedex,"44.455295,-0.37674",Université de la Guyane,"Civilisations, cultures et sociétés",Formation initiale,,,"SCIENCES HUMAINES ET SOCIALES | ARTS, LETTRES, LANGUES",Oui,40.0,2019.0,"Langues, littératures et civilisations étrangères et régionales|Humanités|Sciences de l'Homme, anthropologie, ethnologie|Etudes culturelles|Sciences et Humanités",
Université de Lille,42 rue Paul Duez,,,LILLE,,Université de Lille,Commerce et distribution,Formation initiale|Formation continue|Apprentissage,Commerce et distribution connectés - En apprentissage,Apprentissage,"DROIT, ECONOMIE, GESTION",Oui,210.0,2021.0,,
Université Paris-Saclay,Route de l'Orme aux Merisiers RD,,,ST AUBIN,,Université Paris-Saclay,Communication des organisations,Formation initiale|Formation continue|Alternance|Apprentissage,M2 Politiques de communication et développement des organisations,Formation continue|Apprentissage,SCIENCES HUMAINES ET SOCIALES,Oui,59.0,2021.0,,
Université Rennes-II,PLACE DU RECTEUR LE MOAL,,,RENNES CEDEX,,Université Rennes-II,Communication publique et politique,Formation initiale|Formation continue|Alternance,"Communication, animation, innovation des territoires",Formation initiale|Formation continue|Alternance,SCIENCES HUMAINES ET SOCIALES,Oui,40.0,2021.0,,
Institut Montpellier Management,163  RUE AUGUSTE BROUSSONNET,,,MONTPELLIER,"43.615803,3.872114",Université de Montpellier,Comptabilité - contrôle - audit,Formation initiale|Formation continue,,,"DROIT, ECONOMIE, GESTION",Oui,30.0,2020.0,Gestion,https://formations.umontpellier.fr/fr/formations/droit-economie-gestion-DEG/master-XB/master-comptabilite-controle-audit-program-master-comptabilite-controle-audit.html
UFR 03 Histoire de l'art et archéologie,3 rue Michelet,,,Paris,"48.84245,2.33604",Université Paris-I,Conservation-restauration des biens culturels,Formation initiale,Conservation préventive du patrimoine (C2P),Formation initiale,SCIENCES HUMAINES ET SOCIALES,Oui,50.0,2020.0,,
Ecole de Management de Toulouse,2 RUE DU DOYEN GABRIEL MARTY,,,TOULOUSE,"43.606067,1.438167",Université Toulouse-I,Contrôle de gestion et audit organisationnel,Formation initiale|Formation continue|Alternance,Contrôle de gestion et audit organisationnel,Formation initiale,"DROIT, ECONOMIE, GESTION",Oui,80.0,2019.0,,
UFR Histoire. Arts et Archéologie,5 allées Antonio Machado,,,TOULOUSE,"43.577692,1.404103",Université Toulouse-II,Création artistique,Formation initiale|Formation continue,"Création Artistique, Recherche et pratique du Monde de l'Art (CARMA)",Formation initiale|Formation continue,"ARTS, LETTRES, LANGUES",Oui,27.0,2020.0,,
UFR Lettres. Culture et Sciences Humaines,29 boulevard Gergovia,,,CLERMONT-FERRAND,"45.772759,3.085385",Université Clermont Auvergne,Création littéraire,Formation initiale|Formation continue,Création éditoriale des littératures de jeunesse et générales,Formation initiale|Formation continue,"ARTS, LETTRES, LANGUES",Oui,120.0,2020.0,,
Université Rennes 2 - Campus Villejean,Place du Recteur H. Le Moal,"UFR Arts, Lettres, Communication",,Rennes cedex,"48.119652,-1.702319",Université Rennes-II,Création numérique,Formation initiale|Formation continue,,,"ARTS, LETTRES, LANGUES",Oui,30.0,2021.0,"Arts|Informatique|Arts du spectacle|Arts plastiques|Musicologie|Electronique, énergie électrique, automatique",https://formations.univ-rennes2.fr/fr/formations/master-37/master-mention-creation-numerique-JF9FRW72.html?search-keywords=num%C3%A9rique
UFR Lettres. Philosophie. Musique. Arts du spectacle et Communication,5 allées Antonio Machado,,,TOULOUSE,"43.577692,1.404103",Université Toulouse-II,Culture et communication,Formation initiale|Formation continue,Communication audiovisuelle et médias,Formation initiale|Formation continue,SCIENCES HUMAINES ET SOCIALES,Oui,40.0,2020.0,,
Université Paris-Saclay,Route de l'Orme aux Merisiers RD,,,ST AUBIN,,Université Paris-Saclay,"Culture, patrimoine et médiation",Formation initiale|Formation continue,M2 Administration culturelle,Formation initiale|Formation continue,SCIENCES HUMAINES ET SOCIALES,Oui,39.0,2021.0,,
Université Montpellier-III,ROUTE DE MENDE,,,MONTPELLIER CEDEX 5,,Université Montpellier-III,Danse,Formation initiale|Formation continue,Etudes chorégraphiques : recherche et représentation,Formation initiale|Formation continue,"ARTS, LETTRES, LANGUES",Oui,7.0,2021.0,,
Palaiseau,,,,Palaiseau,"0.0,-0.0",Université Paris-Saclay,Design,Formation initiale|Formation continue,M1 Recherche en design,Formation initiale,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,44.0,2020.0,,
Rennes,UFR langues,Place recteur Henri Le Moal,,Rennes,"48.123634,-1.700273",Université Rennes-II,Didactique des langues,Formation initiale|Formation continue,Numérique et Ingénierie Pédagogique pour l'enseignement de la langue étrangère - ALE/FLE et autres langues,Formation initiale|Formation continue,"ARTS, LETTRES, LANGUES",Oui,60.0,2019.0,"Lettres|Sciences de l'éducation|Sciences du langage|Langues, littératures et civilisations étrangères et régionales",https://formations.univ-rennes2.fr/fr/formations/master-37/master-mention-didactique-des-langues-JFC6ZDIE.html
Université Lyon-I,43 BOULEVARD DU 11 NOVEMBRE 1918,,,VILLEURBANNE CEDEX,,Université Lyon-I,Didactique des sciences,Formation initiale,DIDACTIQUE DES SCIENCES EXPERIMENTALES ET DES MATHEMATIQUES,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,10.0,2021.0,,
Institut de la Communication,5 avenue Pierre Mendes-France,,,Bron,"45.722593,4.915126",Université Lyon-II,Direction de projets ou établissements culturels,Formation initiale|Formation continue,Management de la culture dans les Balkans,Formation initiale|Formation continue,SCIENCES HUMAINES ET SOCIALES,Oui,24.0,2020.0,,
Faculté de Droit et de Science Politique,57 rue Pierre Taittinger,BP 30,,REIMS cedex,"49.2374,4.003494",Université de Reims,Droit,Formation initiale|Formation continue,Droit du vin et des spiritueux,Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION",Oui,12.0,2019.0,,
UVSQ - Faculté de Droit et de Science politique,3. rue de la Division Leclerc,,,Guyancourt,"48.785659,2.051572",Université de Versailles Saint-Quentin-en-Yvelines,Droit administratif,Formation initiale|Formation continue,Droit immobilier public,Formation initiale|Formation continue|Apprentissage,"DROIT, ECONOMIE, GESTION",Oui,30.0,2019.0,,
Université Lyon 3,Faculté de droit,Campus des Quais,15 quai Claude Bernard,LYON,"45.752443,4.837579",Université Lyon-III,Droit bancaire et financier,Formation initiale,DROIT BANCAIRE ET FINANCIER,Formation initiale,"DROIT, ECONOMIE, GESTION",Oui,15.0,2019.0,,
Faculté de Théologie Catholique,9 PLACE DE L'UNIVERSITE,,,Strasbourg,"48.584893,7.761833",Université de Strasbourg,Droit canonique,Formation initiale|Formation continue,,,Autre Domaine,Oui,50.0,2020.0,Droit canonique,http://www.unistra.fr/index.php?id=27887&tx_unistrarof_pi1%5Brof-program%5D=ME84&cHash=38f98a1ee8fd4d86cd8a766476b059fe#data-rof-tab-presentation
UFR DEA,Campus Saulcy,,,METZ,"49.120704,6.163155",Université de Lorraine,Droit civil,Formation initiale|Formation continue,Droit civil général,Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Oui,75.0,2021.0,Droit,https://formations.univ-lorraine.fr/17-master/s-1/mention_du_diplome-droit_civil/type_de_diplome-master
Ecole de Droit de la Sorbonne - Département de droit privé,12 Place du Panthéon,,,Paris,"48.846802,2.344876",Université Paris-I,Droit comparé,Formation initiale,,,"DROIT, ECONOMIE, GESTION",Non,,2019.0,Droit,
UFR Droit et Science Politique,163  RUE AUGUSTE BROUSSONNET,,,MONTPELLIER,"3.872114,43.615803",Université de Montpellier,Droit de l'entreprise,Formation initiale|Formation continue,Droit bancaire et financier,Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION",Oui,104.0,2020.0,,
UFR Droit et Science Politique,39 rue de l'Université,,,MONTPELLIER,"43.61403,3.87705",Université de Montpellier,Droit de l'environnement,Formation initiale|Formation continue,,,"DROIT, ECONOMIE, GESTION",Oui,35.0,2021.0,Droit,https://formations.umontpellier.fr/odf/droit_de_l_environnement.html
Faculté de Droit et des Sciences politiques,Chemin de la Censive du Tertre,,,Nantes,"47.244571,-1.552082",Université de Nantes,Droit de l'environnement et de l'urbanisme,Formation initiale|Formation continue|Alternance,Ville et Territoires : Politiques et pratiques de l'Urbanisme,Formation initiale|Formation continue|Alternance,"DROIT, ECONOMIE, GESTION",Oui,34.0,2019.0,,
Narbonne,UFR SCIENCES JURIDIQUES ET ECONOMIQUES - Antenne de Narbonne,UNIVERSITE DE PERPIGNAN,Avenue PIERRE DE COUBERTIN BP.818,NARBONNE,"43.184095,3.02274",Université de Perpignan,Droit de l'immobilier,Formation initiale,Droit des biens et promotion immobilière,Formation initiale,"DROIT, ECONOMIE, GESTION",Non,,2020.0,,
UFR Droit et Science Politique,163  RUE AUGUSTE BROUSSONNET,,,MONTPELLIER,"43.615803,3.872114",Université de Montpellier,Droit de l'économie,Formation initiale|Formation continue,,,"DROIT, ECONOMIE, GESTION",Oui,30.0,2019.0,Droit,https://formations.umontpellier.fr/odf/droit_de_l_economie.html
Centre d'Etudes Internationales de la Propriété Intellectuelle,11 RUE DU MARECHAL JUIN,,,Strasbourg,"48.578295,7.761541",Université de Strasbourg,Droit de la propriété intellectuelle,Formation initiale|Formation continue,Droit européen et international de la propriété intellectuelle,Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION",Oui,20.0,2019.0,,
Sceaux,,,,Sceaux,"0.0,-0.0",Université Paris-Saclay,Droit de la propriété intellectuelle et du numérique,Formation initiale|Formation continue|Apprentissage,M1 Droit de la propriété intellectuelle et du numérique - Site Sceaux,Formation initiale,"SCIENCES HUMAINES ET SOCIALES | DROIT, ECONOMIE, GESTION",Oui,60.0,2020.0,,
UFR Droit et Science politique,Campus Pessac,16 avenue Léon Duguit,CS50057,PESSAC,"44.799011,-0.615142",Université de Bordeaux,Droit de la santé,Formation initiale|Formation continue,,,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Oui,30.0,2021.0,Droit|Administration économique et sociale,https://www.u-bordeaux.fr/formation/PRMA_112/droit-de-la-sante
Université de Brest,3 RUE DES ARCHIVES,,,BREST CEDEX 2,,Université de Brest,Droit des activités maritimes,Formation initiale|Formation continue,"Droit, mer et littoral",Formation initiale|Formation continue,SCIENCES DE LA MER ET DU LITTORAL,Oui,23.0,2021.0,,
Université de Lille,42 rue Paul Duez,,,LILLE,,Université de Lille,Droit des affaires,Formation initiale|Formation continue|Apprentissage,Droit fiscal des affaires- En apprentissage,Apprentissage,"DROIT, ECONOMIE, GESTION",Oui,115.0,2021.0,,
Université Paris II,92 rue d'Assas,,,Paris,"48.843572,2.333494",Université Paris-II,Droit des affaires franco-asiatiques,Formation initiale,Droit des affaires franco-asiatiques,Formation initiale,"DROIT, ECONOMIE, GESTION",Oui,30.0,2019.0,,
Université du Mans,Avenue O. Messiaen,,,LE MANS,"0.0,-0.0",Université du Mans,Droit des assurances,Formation initiale|Formation continue,,,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Oui,13.0,2021.0,Droit,http://www.univ-lemans.fr/fr/formation/catalogue-des-formations/master-lmd-MLMD/droit-economie-gestion-0002/master-droit-des-assurances-program-master-droit-des-assurances.html
UFR Droit. Sciences Sociales. Economiques et de Gestion,Campus Mariani,22. avenue Jean NICOLI,BP52,CORTE,"42.305915,9.155295",Université de Corse,Droit des collectivités territoriales,Formation initiale,,,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Oui,20.0,2019.0,Administration publique|Droit,https://applisweb.universita.corsica/devu/fiches_diplomes/fiches_diplomes-front/index-front.php?rbk=2&profil=&id_site=1&acces=ok&id_art=389&id_rub=162&id_fiche=CDE_M_DCT_
UFR de Droit et sciences politiques,Esplanade de la paix,,CS 14032,CAEN,"49.188901,-0.363377",Université de Caen,Droit des libertés,Formation initiale,,,"DROIT, ECONOMIE, GESTION",Oui,22.0,2019.0,Droit,https://uniform.unicaen.fr/catalogue/formation/master/5098-master-droit-des-libertes?s=droit&r=1333118853547
UPEC - UFR de DROIT,83-85 avenue du Général de Gaulle,,,CRETEIL,"48.793736,2.446539",Université Paris-XII,Droit du numérique,Apprentissage,Droit et Informatique,Apprentissage,"DROIT, ECONOMIE, GESTION",Oui,24.0,2019.0,,
UFR Droit et Science Politique,163  RUE AUGUSTE BROUSSONNET,,,MONTPELLIER,"3.872114,43.615803",Université de Montpellier,Droit du patrimoine,Formation initiale|Formation continue,"Immobilier, Construction, Urbanisme",Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION",Oui,24.0,2020.0,Droit,https://formations.umontpellier.fr/odf/droit_du_patrimoine.html
Université Paris-XII,61 avenue du Général de Gaulle,,,CRETEIL CEDEX,,Université Paris-XII,Droit et Finance,,,,"DROIT, ECONOMIE, GESTION",Sans objet,,2021.0,Droit,http://droit.u-pec.fr/formations/
"Ecole de Droit de la Sorbonne - Département Masters de Droit international, européen et comparé",12 place du Panthéon,,,Paris,"48.846802,2.344876",Université Paris-I,Droit européen,Formation initiale,,,"DROIT, ECONOMIE, GESTION",Oui,40.0,2019.0,Droit,https://www.pantheonsorbonne.fr/ufr/eds-departement-droit-iec/formations-219-22/mentions/droit-europeen/
UFR DEA,Campus Saulcy,,,METZ,"49.120704,6.163155",Université de Lorraine,Droit fiscal,Formation initiale|Formation continue,Procédures et fiscalités appliqués,Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Oui,25.0,2020.0,Droit,http://fac-droit-economie-administration.univ-lorraine.fr/nos-formations/formation-initiale/master-1
Université Paris Nanterre,200. avenue de la République,,,Nanterre,"48.906425,2.211478",Université Paris-X,Droit français - Droits étrangers,Formation initiale|Formation continue,Droit Français - Droit italien,Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION",Oui,145.0,2019.0,,
UFR Droit et Science politique,Campus Pessac,16 avenue Léon Duguit,CS50057,PESSAC,"44.799011,-0.615142",Université de Bordeaux,Droit international,Formation initiale,Droit des échanges euro-méditerranéens,Formation initiale,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Oui,105.0,2020.0,,
UFR Droit et Science Politique,,,,Evry,"48.623719,2.428773",Communauté d'universités et établissements Université Paris-Saclay,Droit international et droit européen,Formation initiale,M1 Droit international et européen des affaires,Formation initiale,"DROIT, ECONOMIE, GESTION",Non,,2019.0,,
Université Lyon-III,1  RUE DE L'UNIVERSITE,,,LYON CEDEX 02,,Université Lyon-III,Droit notarial,Formation initiale,Droit notarial interne,Formation initiale,"DROIT, ECONOMIE, GESTION",Oui,50.0,2021.0,,
Université Toulouse-I,2  RUE DU DOYEN GABRIEL MARTY,,,TOULOUSE CEDEX 9,,Université Toulouse-I,Droit privé,Formation initiale|Formation continue,Contrats et Responsabilité des Professionnels,Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION",Oui,108.0,2021.0,,
Université du Mans,AVENUE OLIVIER MESSIAEN,,,LE MANS CEDEX 9,,Université du Mans,Droit public,Formation initiale|Formation continue,Droit public économique,Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Oui,18.0,2021.0,,
UFR Droit et Sces Sociales,43 place Charles de Gaulle,Bât. E9,TSA 81100,POITIERS,"46.583868,0.343219",Université de Poitiers,Droit public des affaires,Formation initiale|Formation continue|Alternance,Droit de l'Urbanisme et de la Construction,Formation initiale|Formation continue|Alternance,"DROIT, ECONOMIE, GESTION",Oui,40.0,2019.0,,
UFR FDSEG,13 place Carnot,,,NANCY,"48.693317,6.176601",Université de Lorraine,Droit pénal et sciences criminelles,Formation initiale|Formation continue,Prévention du risque pénal économique et financier,Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE",Non,,2019.0,,
CY Cergy Paris Université,33 boulevard DU PORT,,,CERGY PONTOISE CEDEX,,CY Cergy Paris Université,Droit social,,Droit social,,"DROIT, ECONOMIE, GESTION",Non,,2021.0,Droit,
Université Paris-II,12  PLACE DU PANTHEON,,,PARIS CEDEX 05,,Université Paris-II,Droits de l'homme et Justice internationale,Formation initiale,Justice pénale internationale,Formation initiale,"DROIT, ECONOMIE, GESTION",Oui,50.0,2021.0,,
Institut de Démographie - IDUP,90 rue de Tolbiac,,,Paris,"48.826949,2.364806",Université Paris-I,Démographie,Formation initiale,,,SCIENCES HUMAINES ET SOCIALES,Oui,35.0,2020.0,"Economie|Histoire|Sociologie|Géographie et aménagement|Sciences de l'Homme, anthropologie, ethnologie|Sciences sociales|Mathématiques et informatique appliquées aux sciences humaines et sociales",
NCEP - Nouveau Collège d'études politiques,Université Paris Nanterre,Bureau B5 - Bâtiment ephémère 2,"200, avenue de la République",NANTERRE,"48.906425,2.211478",Communauté d'universités et établissements Université Paris Lumières,ETUDES POLITIQUES,Formation initiale,Violence et politique,Formation initiale,SCIENCES HUMAINES ET SOCIALES,Oui,35.0,2019.0,,
Université de Toulon,,,,TOULON,"43.124011,5.930466",Université de Toulon,Eau - Environnement - Océanographie / Water - Environment - Oceanography,Formation initiale,,,"SCIENCES, TECHNOLOGIES, SANTÉ",Sans objet,,2019.0,,
UFR Sciences,Place Eugène Bataillon,,,MONTPELLIER,"43.63419,3.86662",Université de Montpellier,Eco-épidémiologie,Formation initiale|Formation continue,,,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,30.0,2021.0,Sciences sanitaires et sociales|Géographie et aménagement|Sciences sociales|Sciences de la vie|Sciences de la vie et de la Terre|Sciences pour la santé|Sciences et Humanités,https://formations.umontpellier.fr/odf/eco-epidemiologie_et_emergences_parasitaires_et_infectieuses.html
Université Toulouse-I,2  RUE DU DOYEN GABRIEL MARTY,,,TOULOUSE CEDEX 9,,Université Toulouse-I,Economie,Formation initiale|Alternance,Economics and Competition Law (ECL),Formation initiale,"DROIT, ECONOMIE, GESTION",Oui,110.0,2021.0,,
Université de Lille,42 rue Paul Duez,,,LILLE,,Université de Lille,Economie appliquée,Formation initiale|Formation continue,Conseil économique pour les organisations publiques  et privées,Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION",Oui,75.0,2021.0,,
Université d'Amiens,CHEMIN DU THIL,,,AMIENS CEDEX 1,,Université d'Amiens,Economie de l'entreprise et des marchés,Formation initiale|Formation continue,ETUDES ET CONSEIL (ECO),Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION",Oui,30.0,2021.0,,
UFR Economie. AES. Gestion,Campus Pessac,16 avenue Léon Duguit,CS50057,PESSAC,"44.799011,-0.615142",Université de Bordeaux,Economie de l'entreprise et du marché,Formation initiale|Formation continue,Economie sociale et collaborative responsable de projet,Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION",Sans objet,,2020.0,,
Université Paris-Saclay,Route de l'Orme aux Merisiers RD,,,ST AUBIN,,Université Paris-Saclay,"Economie de l'environnement, de l'énergie et des transports",Formation initiale|Formation continue|Apprentissage,M2 Economie du Développement Durable et de l'Environnement,Formation initiale|Formation continue|Apprentissage,"DROIT, ECONOMIE, GESTION",Oui,25.0,2021.0,,
Université de Lille,42 rue Paul Duez,,,LILLE,,Université de Lille,Economie de la santé,Formation initiale|Formation continue,"Prévention, politiques de santé, évaluation - En contrat de pro",Alternance,"DROIT, ECONOMIE, GESTION",Oui,15.0,2021.0,,
Université Paris-VIII,2 rue de la Liberté,,,ST DENIS CEDEX,,Université Paris-VIII,Economie des organisations,Formation initiale|Formation continue,"Economie sociale, solidaire et innovante",Formation initiale|Formation continue,"DROIT, ECONOMIE, GESTION",Oui,50.0,2021.0,,
