Nom du site où est dispensée la formation,Adresse du site de formation,Complément d’adresse du site de formation,Suite du complément d’adresse du site de formation,Ville du site de formation,Coordonnées géographiques du site de formation,Nom officiel (long) de l’établissement accrédité,Intitulé de la mention de master,Modalités d’enseignement de la mention,Intitulé du parcours,Modalités d’enseignement du parcours,Domaine(s) de la mention de master,Existence d’une capacité d’accueil limitée au 1er semestre,Capacité d’accueil limitée au 1er semestre,Année de la campagne de recueil des informations,Licences conseillées pour suivre la formation de la mention,URL de la fiche relative à la mention sur le site internet de l’établissement
ORSAY,,,,ORSAY,"0.0,-0.0",Université Paris-Saclay,STAPS : activité physique adaptée et santé,Formation initiale|Formation continue|Apprentissage,M2 Vieillissement et Handicap : Mouvement et Adaptation,Formation initiale|Formation continue|Apprentissage,SCIENCES HUMAINES ET SOCIALES,Oui,75.0,2020.0,,
Université de Lille,42 rue Paul Duez,,,LILLE,,Université de Lille,STAPS : entraînement et optimisation de la performance sportive,Formation initiale|Formation continue|Apprentissage,"PREPARATION DU SPORTIF : ASPECTS PHYSIQUES, NUTRITIONNELS ET MENTAUX",Formation initiale|Formation continue|Apprentissage,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,65.0,2021.0,,
UFR STAPS,30 rue du Jardin Botanique,,,VILLERS-LES-NANCY,"48.666668,6.157199",Université de Lorraine,STAPS : ingénierie et ergonomie de l'activité physique,Formation initiale|Formation continue,"Métrologie, Performance, Santé",Formation initiale|Formation continue,Autre Domaine,Oui,20.0,2021.0,Sciences et techniques des activités physiques et sportives,https://staps-nancy.univ-lorraine.fr/fr/content/formation
Université Paris Nanterre,"200, avenue de la République",,,NANTERRE,"0.0,-0.0",Université Paris-X,STAPS : management du sport,Formation initiale|Formation continue,Management des organisations Sportives,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,25.0,2020.0,,
UFR Simone Veil - Santé,2 avenue de la Source de la Bièvre,,,Montigny-Le-Bretonneux,"0.0,-0.0",Université de Versailles Saint-Quentin-en-Yvelines,Santé,Formation initiale|Formation continue|Apprentissage,Sciences Cliniques en soins paramédicaux,Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,20.0,2020.0,,
UFR médecine et pharmacie,6 Rue de la Milétrie,Bât. D1,TSA 51115,Poitiers Cedex 9,"46.560668,0.3794221",Université de Poitiers,Santé Approche Interprofessionnelle des Pathologies Chroniques,Formation initiale|Formation continue,,,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,30.0,2019.0,Sciences et techniques des activités physiques et sportives|Sciences pour la santé,
Université Paris-X,200 avenue de la République,,,NANTERRE CEDEX,,Université Paris-X,Santé et société,,,,SCIENCES HUMAINES ET SOCIALES,Sans objet,,2020.0,,
FACULTES DE MEDECINE ET DE PHARMACIE,CAMPUS MARCLAND,2 RUE DU DOCTEUR MARCLAND,,LIMOGES CEDEX,"45.8147,-1.23292",Université de Limoges,Santé publique,Formation initiale|Formation continue,ZOONOSES ET ENVIRONNEMENT,Formation initiale|Formation continue,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,60.0,2021.0,Sciences de la vie,https://www.medecine.unilim.fr/formations/masters/
EHESP,20 avenue George Sand,,,La Plaine Saint Denis,"0.0,-0.0",Ecole des hautes études en santé publique,Santé publique / Public Health,Formation initiale|Formation continue,,,"SCIENCES, TECHNOLOGIES, SANTÉ",Oui,30.0,2021.0,Droit|Economie|Science politique|Sciences sanitaires et sociales|Sciences pour l'ingénieur|Sciences sociales|Sciences de la vie|Sciences pour la santé,https://mph.ehesp.fr/
EHESS,54 boulevard raspail,,,Paris,"48.850075,2.327104",Ecole des hautes études en sciences sociales,Savoirs en société,Formation initiale,Etudes environnementales,Formation initiale,SCIENCES HUMAINES ET SOCIALES,Oui,60.0,2019.0,,
