Session,Établissement,Académie de l’établissement,Commune de l’établissement,Sélectivité,Filière de formation très agrégée,Filière de formation détaillée bis,Coordonnées GPS de la formation,Capacité de l’établissement par formation,Concours communs et banque d'épreuves,Lien de la formation sur la plateforme Parcoursup,Taux d’accès,Effectif total des candidats en phase principale,Effectif des candidats néo bacheliers généraux en phase principale,Effectif des candidats néo bacheliers technologiques en phase principale,Effectif des candidats néo bacheliers professionnels en phase principale,Effectif total des candidats en phase complémentaire,Effectif des candidats néo bacheliers généraux en phase complémentaire,Effectif des candidats néo bacheliers technologique en phase complémentaire,% d’admis néo bacheliers sans mention au bac,% d’admis néo bacheliers avec mention Assez Bien au bac,% d’admis néo bacheliers avec mention Bien au bac,% d’admis néo bacheliers avec mention Très Bien au bac,% d’admis néo bacheliers avec mention Très Bien avec félicitations au bac,% d’admis néo bacheliers généraux,Dont % d’admis avec mention (BG),% d’admis néo bacheliers technologiques,Dont % d’admis avec mention (BT),% d’admis néo bacheliers professionnels,Part des terminales générales qui étaient en position de recevoir une proposition en phase principale,Part des terminales technologiques qui étaient en position de recevoir une proposition en phase principale,Part des terminales professionnelles qui étaient en position de recevoir une proposition en phase principale
2025,emlv - école de management léonard de vinci,versailles,courbevoie,formation sélective,ecole de commerce,formation des écoles de commerce et de management bac + 3,"48.896,2.23663",80,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=31740&typebac=0&originepc=0,60,235,149,54,6,40,14,7,62.0,31.0,6.0,0.0,0.0,69.0,25.0,31.0,12.0,0.0,71,27,2
2025,avignon université,aix-marseille,avignon,formation non sélective,licence_las,sciences de la vie et de la terre,"43.9499,4.81762",20,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=31749&typebac=0&originepc=0,35,941,692,56,19,0,0,0,22.0,39.0,22.0,11.0,6.0,94.0,72.0,6.0,6.0,0.0,99,1,0
2025,lycée carnot,dijon,dijon,formation sélective,cpge,pcsi,"47.3237,5.04925",96,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=3178&typebac=0&originepc=0,62,2344,1303,0,0,0,0,0,1.0,12.0,44.0,39.0,3.0,100.0,99.0,0.0,0.0,0.0,100,0,0
2025,"institut protestant de theologie, faculte libre de montpellier",montpellier,montpellier,formation sélective,autre formation,diplôme d'etablissement,,50,,,,30,4,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2025,lycée montchapet,dijon,dijon,formation sélective,bts,support à l'action managériale,"47.3345,5.01713",24,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=3184&typebac=0&originepc=0,51,459,32,180,156,119,7,23,92.0,0.0,8.0,0.0,0.0,8.0,0.0,75.0,0.0,17.0,14,51,35
2025,"université de montpellier, antenne de nîmes",montpellier,nîmes,formation non sélective,pass,parcours d'accès spécifique santé (pass),"43.8212,4.32081",38,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=31856&typebac=0&originepc=0,nd,1968,1504,61,20,0,0,0,32.0,32.0,14.0,21.0,0.0,89.0,61.0,7.0,7.0,4.0,nd,nd,nd
2025,université de montpellier,montpellier,montpellier,formation non sélective,pass,parcours d'accès spécifique santé (pass),"43.6223,3.86195",127,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=31858&typebac=0&originepc=0,19,7281,5588,214,117,0,0,0,2.0,13.0,39.0,37.0,9.0,100.0,97.0,0.0,0.0,0.0,100,0,0
2025,lycée saliège,toulouse,balma,formation sélective,cpge,ecg - mathématiques appliquées + hgg,"43.6045,1.49452",24,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=31877&typebac=0&originepc=0,98,503,405,0,2,10,5,0,0.0,50.0,38.0,12.0,0.0,100.0,100.0,0.0,0.0,0.0,100,0,0
2025,lycée saliège,toulouse,balma,formation sélective,cpge,ecg - mathématiques approfondies + esh,"43.6045,1.49452",24,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=31878&typebac=0&originepc=0,99,460,370,0,1,7,4,0,0.0,46.0,38.0,15.0,0.0,100.0,100.0,0.0,0.0,0.0,100,0,0
2025,lycée parc de vilgenis,versailles,massy,formation sélective,cpge,ecg - mathématiques appliquées + hgg,"48.7312,2.25247",35,,https://dossierappel.parcoursup.fr/candidats/public/fiches/afficherficheformation?g_ta_cod=31879&typebac=0&originepc=0,93,458,280,0,2,47,31,0,30.0,57.0,10.0,3.0,0.0,100.0,70.0,0.0,0.0,0.0,100,0,0
